sampleId,frameCount,validFrameCount,deflectionMeanMm,deflectionP50Mm,deflectionP05Mm,deflectionP95Mm,deflectionStdMm,deflectionRangeMm,deflectionSlopeMmPerSec,driftMmPerMin,validRate,confidenceMean,qualityMean,weightG,standardDeflectionMm,phoneMinusStandardMm
sample_013_4300.1g,80,80,13.48364356764805,13.485236258192762,13.413013696925995,13.546346779269909,0.04559644677688465,0.21981616579116547,-0.001998962854921751,-0.11993777129530506,1.0,0.5999999999999999,0.8995541575993411,4300.1,13.01,0.4736435676480504
sample_012_4379.3g,80,80,13.60259665670145,13.607398406441064,13.56344705538667,13.634582386931529,0.02413107128741155,0.10269650688601217,0.0019519413022176036,0.11711647813305621,1.0,0.5999999999999999,0.8997367897140794,4379.3,13.4,0.20259665670145033
sample_007_4424.5g,31,31,14.815415176846553,14.84092385812612,14.702383852810481,14.884927955011019,0.058686594009671134,0.1897475999053615,0.010438815829991316,0.626328949799479,1.0,0.6000000000000002,0.88456036899359,4424.5,16.4,-1.5845848231534454
sample_011_4465.6g,80,80,13.857582967314903,13.861051359883806,13.805731280755946,13.904926079978642,0.031202724682493632,0.1186984288763977,-0.0007763682494737014,-0.04658209496842208,1.0,0.5999999999999999,0.899964145841077,4465.6,13.4,0.45758296731490233
sample_010_4503.9g,80,80,13.923167769932869,13.922024461846965,13.8786617398846,13.969722223022037,0.026010887731654112,0.12698834886065669,0.0006672006241695166,0.040032037450171,1.0,0.5999999999999999,0.9009302612883039,4503.9,13.38,0.5431677699328681
sample_006_4508.1g,30,30,15.020590516009559,15.018213164588891,14.968990996382965,15.080679784190913,0.04033398573727448,0.14250462904854544,-0.00759287928224857,-0.4555727569349142,1.0,0.6000000000000001,0.8849246859923006,4508.1,16.6,-1.5794094839904425
sample_009_4561.8g,80,80,14.060584597908582,14.066420265039337,14.022932970411485,14.083680553487826,0.022774781885067232,0.11584810158974612,-0.0003522209188778782,-0.02113325513267269,1.0,0.5999999999999999,0.9001741907396352,4561.8,12.5,1.5605845979085817
sample_005_4593.5g,31,31,15.207781041881672,15.202781478997132,15.149940219230704,15.256789226338643,0.03664532213447049,0.12277203304639883,0.007102918405282478,0.4261751043169487,1.0,0.6000000000000002,0.8852095217618251,4593.5,16.85,-1.6422189581183293
sample_008_4651.6g,80,80,14.246396933471669,14.247730492982557,14.20653217372684,14.291873232010994,0.02606739080982088,0.11807504893574716,-0.001223552745305835,-0.0734131647183501,1.0,0.5999999999999999,0.8994778041820973,4651.6,13.1,1.146396933471669
sample_004_4685.2g,30,30,15.28101594016323,15.285483341850087,15.25578444719286,15.299626583574215,0.013814921293887806,0.05128198450039001,-0.0018907956584855608,-0.11344773950913364,1.0,0.6000000000000001,0.8840378339216114,4685.2,17.07,-1.7889840598367694
sample_007_4747.8g,80,80,14.420536184745993,14.420104345610794,14.404961620271205,14.443656328586265,0.012043162106769947,0.05367473493422459,0.0002944283020087913,0.017665698120527477,1.0,0.5999999999999999,0.9009972763643599,4747.8,13.42,1.000536184745993
sample_006_4773.6g,80,80,14.43616114699202,14.44135333577568,14.396684615617207,14.46404419341103,0.02366308146952937,0.1018719922020761,0.002207920587261353,0.1324752352356812,1.0,0.5999999999999999,0.8998831306607462,4773.6,13.39,1.04616114699202
sample_005_4795g,80,80,14.390840213418084,14.395966109964064,14.349426078993691,14.42313080356134,0.02094510671643368,0.0971976758736055,-0.0003756744269900544,-0.022540465619403264,1.0,0.5999999999999999,0.8994493746943771,4795.0,13.32,1.0708402134180837
sample_003_4804g,31,31,15.471716679832571,15.481480590515378,15.386536657905955,15.519611693579595,0.045184054535126104,0.14110063151772145,-0.0017748517495258258,-0.10649110497154955,1.0,0.6000000000000002,0.8858279116475773,4804.0,17.2,-1.728283320167428
sample_004_4855.6g,80,80,14.496335614440534,14.492431228305199,14.43787201711374,14.561747530295058,0.03772820257054183,0.17582758414473787,-0.00354820310674962,-0.2128921864049772,1.0,0.5999999999999999,0.8996264171483925,4855.6,13.47,1.0263356144405336
sample_002_4909g,30,30,15.59303313499447,15.596426278404623,15.56687722788221,15.62759402649521,0.021826628617169788,0.08935034908573058,-0.0023625468730184033,-0.1417528123811042,1.0,0.6000000000000001,0.8868243624269964,4909.0,17.3,-1.7069668650055299
sample_003_4925g,80,80,14.428504259005228,14.432176218704614,14.399938073412443,14.462080649920619,0.018297576945472214,0.07276669274092917,0.001352686477513349,0.08116118865080094,1.0,0.5999999999999999,0.8983671455597506,4925.0,13.6,0.8285042590052285
sample_002_4985.5g,80,80,14.35856335872856,14.355641349206401,14.328037052207883,14.424660357514064,0.02649501055435463,0.12484337081072283,0.0017171058609494435,0.10302635165696661,1.0,0.5999999999999999,0.8973491575103253,4985.5,13.5,0.8585633587285599
sample_001_5000g,30,30,15.47996521724682,15.483089160300535,15.396684293171583,15.519581086164544,0.043905337663102215,0.2247865922250316,0.0029815501310440215,0.17889300786264128,1.0,0.6000000000000001,0.8859392505511642,5000.0,17.4,-1.920034782753179
sample_001_5015.7g,80,80,14.127239541113966,14.117564972877414,14.08363378277184,14.20521126262939,0.03236170381703558,0.15337557401703705,0.003249140916826333,0.19494845500957997,1.0,0.5999999999999999,0.8976226493925786,5015.7,14.43,-0.3027604588860342
